DokumentNr;Artikel;Bezeichnung;Klasse;KlasseBezeichnung;Gruppe;GruppeBezeichnung;Untergruppe;UntergruppeBezeichnung;Preis;Menge;Lagereinheit;Rechnungseinheit;Einkaufspreis;Rabatt;TotalExklMwSt;SteuerCode;Steuerbetrag;TotalInklMwSt;Waehrung;Ertragskonto;Kostenstelle;Gewicht;DokumentTyp;DokumentTypBezeichnung;DatumBelegbeiKasse;Adresse;Name;Land;Region;Sprache;Checkout;VoucherBon;VoucherKueche;VoucherGruppe
2169731;304004;Brötli vom Hof;7;HofBäckerei;8;Brot;;;1.60;1.00;STK;STK;0.00;0.00;1.48;10;0.12;1.60;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169731;304009;Sultaninenbrötli;7;HofBäckerei;8;Brot;;;2.00;1.00;STK;STK;0.00;0.00;1.85;10;0.15;2.00;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169731;303015;Buffet - Dessert Take away;8;HofKonditorei;29;Dessert;;;32.00;0.17;KG;KG;0.00;0.00;5.09;10;0.41;5.50;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169731;303015;Buffet - Dessert Take away;8;HofKonditorei;29;Dessert;;;32.00;0.13;KG;KG;0.00;0.00;3.80;10;0.30;4.10;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169732;301503;Buffet - Znacht Salat/Warm L;6;HofChuchi;32;Kalte Küche;;;32.00;0.45;KG;KG;0.00;0.00;13.29;10;1.06;14.35;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:40;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169733;7611889110129;Quöllfrisch 5dl;9;Getränke;37;Bier;FREMD;Fremd;5.80;1.00;FL;FL;0.00;0.00;5.37;10;0.43;5.80;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:29;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169733;7640105560998;Suure Moscht vom Hof alkoholfrei 5dl;9;Getränke;41;Getränke alkoholfrei;EIGEN;Eigen;5.50;1.00;FL;FL;0.00;0.00;5.09;10;0.41;5.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:29;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169734;302129;Cervelat gross;6;HofChuchi;31;Warme Küche;;;5.00;1.00; ; ;0.00;0.00;4.63;10;0.37;5.00;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:43;1000001;Laufkunde;CH;ZH;D;0;1;;2
2169734;302127;Kalbsbratwurst gross;6;HofChuchi;31;Warme Küche;;;6.00;2.00; ; ;0.00;0.00;11.11;10;0.89;12.00;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:43;1000001;Laufkunde;CH;ZH;D;0;1;;2
2169734;305307;Süssmost 1l, frisch gepresst;9;Getränke;40;Hoftee/Most;;;3.50;1.00;L;L;0.00;0.00;3.24;10;0.26;3.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:43;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169734;305900;PET Flasche;12;Non-Food;44;Depot/Gebinde;FREMD;Fremd;0.50;1.00;FL;FL;0.00;0.00;0.46;10;0.04;0.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:11:43;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169735;9810000018001;Glace Kübeli;2;Frischprodukte;30;Glace;FREMD;Fremd;3.90;3.00;STK;STK;0.00;0.00;10.83;10;0.87;11.70;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:12:00;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089227;305900;PET Flasche;12;Non-Food;44;Depot/Gebinde;FREMD;Fremd;0.50;1.00;FL;FL;0.00;0.00;0.46;10;0.04;0.50;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:32:46;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089227;305307;Süssmost 1l, frisch gepresst;9;Getränke;40;Hoftee/Most;;;3.50;1.00;L;L;0.00;0.00;3.24;10;0.26;3.50;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:32:46;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089228;2110029;Apfel-Birnen 3.50;4;Obst;16;Äpfel/Birnen;;;3.50;2.08;KG;KG;0.00;0.00;7.07;11;0.18;7.25;CHF;3000;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:33:54;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089228;305900;PET Flasche;12;Non-Food;44;Depot/Gebinde;FREMD;Fremd;0.50;1.00;FL;FL;0.00;0.00;0.46;10;0.04;0.50;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:33:54;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089228;305307;Süssmost 1l, frisch gepresst;9;Getränke;40;Hoftee/Most;;;3.50;1.00;L;L;0.00;0.00;3.24;10;0.26;3.50;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:33:54;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089228;212006;Tragtasche klein;12;Non-Food;42;Merchandising;;;0.20;1.00;STK;STK;0.00;0.00;0.19;10;0.01;0.20;CHF;3200;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:33:54;1000001;Laufkunde;CH;ZH;D;0;0;;0
401829;300100;Seminarpauschale ganzer Tag;1;Erlebnis;3;Event;;;106.92;9.00; ; ;0.00;0.00;891.02;10;71.28;962.30;CHF;3410;200;0.00;LSSEG;Lieferschein Kasse Seegräben;17.08.2017 - 16:30:03;204920;Sonova AG;CH;ZH;D;0;0;;0
2169608;7640105563739;Apfel Zimt Konfi 220g;6;HofChuchi;33;Konfi;;;5.40;1.00;STK;STK;0.00;0.00;5.27;11;0.13;5.40;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:30:39;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169608;202000;Schüblig Paar;2;Frischprodukte;7;Fleisch;FREMD;Fremd;6.30;1.00;PAAR;PAAR;0.00;0.00;6.15;11;0.15;6.30;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:30:39;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169608;500131;Heidelbeeren 250g;4;Obst;19;Heidelbeeren;EIGEN;Eigen;6.00;1.00;SCH;SCH;0.00;0.00;5.85;11;0.15;6.00;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:30:39;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169609;500108;Erdbeeren CH 250g;4;Obst;20;Erdbeeren;FREMD;Fremd;4.00;2.00;SCH;SCH;0.00;0.00;7.80;11;0.20;8.00;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:32:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169610;2110027;Apfel-Birnen 3.10;4;Obst;16;Äpfel/Birnen;;;3.10;0.33;KG;KG;0.00;0.00;0.98;11;0.02;1.00;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:33:08;1000001;Laufkunde;CH;ZH;D;0;0;;0
